result
Id,Term,Crn,Subj,Number,Section,Footnote,Title,Credit,CreditMax,Res,Fy,HasPerm,HasGuide,Meetings/0/Location,Meetings/0/U,Meetings/0/M,Meetings/0/T,Meetings/0/W,Meetings/0/R,Meetings/0/F,Meetings/0/S,Meetings/0/Start,Meetings/0/End,Meetings/0/Credit,Meetings/1/Location,Meetings/1/U,Meetings/1/M,Meetings/1/T,Meetings/1/W,Meetings/1/R,Meetings/1/F,Meetings/1/S,Meetings/1/Start,Meetings/1/End,Meetings/1/Credit,Instructors/0/Display,Reqs/0/Code,Reqs/0/Desc,Reqs/0/Fy,Reqs/0/Uc,DeptCodes/0,Reqs/1/Code,Reqs/1/Desc,Reqs/1/Fy,Reqs/1/Uc,Reqs/2/Code,Reqs/2/Desc,Reqs/2/Fy,Reqs/2/Uc,Reqs/3/Code,Reqs/3/Desc,Reqs/3/Fy,Reqs/3/Uc,Instructors/1/Display,DeptCodes/1,Reqs/4/Code,Reqs/4/Desc,Reqs/4/Fy,Reqs/4/Uc,Instructors/2/Display,Instructors/3/Display,Instructors/4/Display,Reqs/5/Code,Reqs/5/Desc,Reqs/5/Fy,Reqs/5/Uc,DeptCodes/2,DeptCodes/3,Instructors/5/Display,Instructors/6/Display
202505-50010,202505,50010,CHEM,231L,60,,Lab for Quantitative Analysis,0,,,N,N,N,BIOL 101,N,Y,N,N,N,N,N,1300,1350,0,RCHM 110,N,Y,N,N,N,N,N,1400,1650,0,"Connelly, Kaitlyn J.",NSMC,Natural Science and Mathematics,Y,Y,CHEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50027,202505,50027,MATH,192,1,The evening time is for exams and will not be used every week.,Topics in Calculus,1,,Closed,Y,N,Y,COLE 023,N,Y,N,Y,N,Y,N,1000,1050,1,RCHM 116,N,N,N,N,Y,N,N,1900,2020,0,"Hamlet, Christina",CCQR,Quantitative Reasoning,Y,Y,MATH,FRST,First year course,N,Y,NMLG,Natural Science and Mathematics Learning Goals,Y,Y,NSMC,Natural Science and Mathematics,Y,Y,,,,,,,,,,,,,,,,,
202505-50029,202505,50029,MATH,192,3,The evening time is for exams and will not be used every week.,Topics in Calculus,1,,Closed,Y,N,Y,OLIN 372,N,Y,N,Y,N,Y,N,1400,1450,1,DANA 113,N,N,N,N,Y,N,N,1900,2020,0,"Breyfogle, Lynn",CCQR,Quantitative Reasoning,Y,Y,MATH,FRST,First year course,N,Y,NMLG,Natural Science and Mathematics Learning Goals,Y,Y,NSMC,Natural Science and Mathematics,Y,Y,,,,,,,,,,,,,,,,,
202505-50032,202505,50032,MATH,202,2,,Calculus II,1,,,N,N,Y,RCHM 116,N,N,Y,N,N,N,N,830,950,1,OLIN 372,N,Y,N,Y,N,Y,N,900,950,0,"Berg, Jen S.",CCQR,Quantitative Reasoning,Y,Y,MATH,NMLG,Natural Science and Mathematics Learning Goals,Y,Y,NSMC,Natural Science and Mathematics,Y,Y,,,,,,,,,,,,,,,,,,,,,
202505-50034,202505,50034,MATH,202,4,,Calculus II,1,,,N,N,Y,RCHM 116,N,N,N,N,Y,N,N,1000,1120,0,COLE 022,N,Y,N,Y,N,Y,N,1100,1150,1,"Cyr, Van T.",CCQR,Quantitative Reasoning,Y,Y,MATH,NMLG,Natural Science and Mathematics Learning Goals,Y,Y,NSMC,Natural Science and Mathematics,Y,Y,,,,,,,,,,,,,,,,,,,,,
202505-50036,202505,50036,BIOL,640,1,,Biochemical Methods,1,,,N,Y,N,BIOL 217,N,N,Y,N,N,N,N,1300,1650,1,BIOL 217,N,N,N,N,Y,N,N,1300,1650,0,"Chambers, Moria C.",,,,,BIOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-50039,202505,50039,MATH,212,1,,Differential Equations,1,,,N,N,Y,OLIN 255,N,Y,N,Y,N,Y,N,800,850,1,,,,,,,,,,,,"Albrizzio, Manuel E.",CCQR,Quantitative Reasoning,Y,Y,MATH,NMLG,Natural Science and Mathematics Learning Goals,Y,Y,NSMC,Natural Science and Mathematics,Y,Y,,,,,,,,,,,,,,,,,,,,,
202505-50041,202505,50041,MATH,216,1,,Statistics I,1,,,N,N,Y,COLE 023,N,Y,N,Y,N,Y,N,800,850,1,RCHM 116,N,N,N,N,Y,N,N,830,950,0,"Donner, Amy M.",CCQR,Quantitative Reasoning,Y,Y,MATH,NMLG,Natural Science and Mathematics Learning Goals,Y,Y,NSMC,Natural Science and Mathematics,Y,Y,W2,Writing Level 2,Y,Y,,,,,,,,,,,,,,,,,
202505-50043,202505,50043,MATH,216,3,,Statistics I,1,,,N,N,Y,OLIN 372,N,Y,N,Y,N,Y,N,1000,1050,1,LANG 272,N,N,Y,N,N,N,N,1000,1120,0,"Waddell, Lucas A.",CCQR,Quantitative Reasoning,Y,Y,MATH,NMLG,Natural Science and Mathematics Learning Goals,Y,Y,NSMC,Natural Science and Mathematics,Y,Y,W2,Writing Level 2,Y,Y,,,,,,,,,,,,,,,,,
202505-50044,202505,50044,MATH,216,4,,Statistics I,1,,,N,N,Y,LANG 272,N,N,Y,N,N,N,N,1000,1120,1,OLIN 372,N,Y,N,Y,N,Y,N,1100,1150,0,"Waddell, Lucas A.",CCQR,Quantitative Reasoning,Y,Y,MATH,NMLG,Natural Science and Mathematics Learning Goals,Y,Y,NSMC,Natural Science and Mathematics,Y,Y,W2,Writing Level 2,Y,Y,,,,,,,,,,,,,,,,,
